類型代號,計價幣別,基金統編,基金名稱,基金規模(台幣),基金規模市場占有率,單位淨值(台幣),受益權單位數,自然人受益人數,法人受益人數,總受益人數,本年申購總金額(台幣),本年買回總金額(台幣),年分
AD1,TWD,97978525,群益安穩貨幣市場基金,"62,275,877,742",2.93%,15.9824,"3,896,539,647.40","1,780",311,"2,091","173,216,418,971","193,918,495,188",2016.0
AA1,TWD,97984293,群益馬拉松基金,"7,199,552,307",0.34%,89.6900,"80,273,608.70","11,766",76,"11,842","1,970,555,095","2,907,683,943",2016.0
群益投信,,,,"127,219,031,221",5.99%,,"8,586,771,541.74","103,055","2,332","105,387","216,012,630,105","233,103,669,178",2016.0
AD1,TWD,14290085,德信萬保貨幣市場基金,"2,953,601,598",0.14%,11.8607,"249,023,706.13",120,41,161,"7,857,207,543","8,249,317,587",2016.0
AA1,TWD,18033138,德信數位時代基金,"451,495,300",0.02%,26.6700,"16,928,699.62",712,32,744,"553,709,298","601,180,620",2016.0
AA2,TWD,25689835,德信中國精選成長基金,"318,827,549",0.02%,9.9900,"31,914,741.44",138,16,154,"251,518,828","242,876,465",2016.0
AA1,TWD,26288534,德信台灣主流中小基金,"161,015,057",0.01%,15.7200,"10,243,101.93","1,104",18,"1,122","246,163,702","296,131,444",2016.0
AE21,TWD,31896050,德信新興股票組合基金,"104,855,783",0.00%,9.7400,"10,770,685.48",8,5,13,"28,815,228","36,921,745",2016.0
AA1,TWD,97972846,德信大發基金,"592,670,000",0.03%,26.9600,"21,984,126.26",571,30,601,"575,629,169","795,342,994",2016.0
AC21,TWD,99636428,德信萬瑞基金,"147,066,249",0.01%,11.0962,"13,253,773.02",5,6,11,"549,403,271","568,321,128",2016.0
德信投信,,,,"4,729,531,536",0.22%,,"354,118,833.88","2,658",148,"2,806","10,062,447,039","10,790,091,983",2016.0
AC21,TWD,31936709A,聯博新興市場企業債券基金-A2類型,"151,233,209",0.01%,10.3493,"14,612,822.03",9,20,29,"86,760,974","463,405,839",2016.0
AC21,TWD,31936709B,聯博新興市場企業債券基金-AT類型,"1,893,952,652",0.09%,8.3184,"227,683,620.18",6,33,39,"145,701,024","788,717,362",2016.0
AC21,USD,31936709C,聯博新興市場企業債券基金-A2類型(美元),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC21,USD,31936709D,聯博新興市場企業債券基金-AT類型(美元),"261,963,162",0.01%,467.0384,"560,902.79",0,3,3,"139,636,859","167,445,539",2016.0
AE22,TWD,38522107A,聯博收益傘型基金之聯博債券收益組合基金-A2類型(新台幣),"500,045,770",0.02%,10.6800,"46,819,877.76",6,15,21,"711,098,027","739,140,422",2016.0
AE22,TWD,38522107B,聯博收益傘型基金之聯博債券收益組合基金-AA類型(新台幣),"1,043,451,015",0.05%,9.0000,"115,922,542.44",2,23,25,"197,074,103","498,895,795",2016.0
AE22,CNY,38522107C,聯博收益傘型基金之聯博債券收益組合基金-AA類型(人民幣),"133,191,766",0.01%,65.7167,"2,026,940.89",0,9,9,"99,937,472","48,267,050",2016.0
AE22,USD,38522107D,聯博收益傘型基金之聯博債券收益組合基金-AA類型(美元),"18,241,412",0.00%,453.8427,"40,184.60",0,5,5,"26,145,999","11,927,700",2016.0
AE22,CNY,38522107E,聯博收益傘型基金之聯博債券收益組合基金-A2類型(人民幣),"14,147,695",0.00%,78.7767,"179,620.68",0,5,5,"34,621,038","21,007,338",2016.0
AE22,AUD,38522107F,聯博收益傘型基金之聯博債券收益組合基金-AA類型(澳幣),"5,262,301",0.00%,330.6497,"15,914.37",0,3,3,"6,162,441","1,163,406",2016.0
AE22,ZAR,38522107G,聯博收益傘型基金之聯博債券收益組合基金-AA類型(南非幣),"1,029,260",0.00%,34.7837,"29,587.88",0,2,2,"875,002","1,412,698",2016.0
AE22,USD,38522107H,聯博收益傘型基金之聯博債券收益組合基金-A2類型(美元),"2,427,284",0.00%,532.6035,"4,558.39",0,2,2,"3,599,091","1,296,681",2016.0
AE23,TWD,38522113A,聯博收益傘型基金之聯博多元資產收益組合基金-A2類型(新台幣),"3,310,670,610",0.16%,11.5600,"286,294,370.77",10,33,43,"2,074,672,163","1,353,036,372",2016.0
AE23,TWD,38522113B,聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(新台幣),"3,994,542,278",0.19%,9.9900,"399,730,750.35",2,39,41,"3,024,137,765","3,900,037,631",2016.0
AE23,CNY,38522113C,聯博收益傘型基金之聯博多元資產收益組合基金-A2類型(人民幣),"132,726,696",0.01%,78.7304,"1,685,454.78",0,19,19,"186,544,062","546,894,160",2016.0
AE23,CNY,38522113D,聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(人民幣),"1,680,823,878",0.08%,66.8282,"25,154,438.60",0,29,29,"1,578,727,269","1,410,395,793",2016.0
AE23,USD,38522113E,聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(美元),"2,036,985,856",0.10%,460.9441,"4,419,514.83",0,28,28,"2,925,504,947","3,128,094,204",2016.0
AE23,USD,38522113F,聯博收益傘型基金之聯博多元資產收益組合基金-A2類型(美元),"267,031,481",0.01%,516.7868,"516,701.94",0,11,11,"411,860,583","669,673,272",2016.0
AE23,AUD,38522113G,聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(澳幣),"614,631,635",0.03%,341.8503,"1,797,936.98",0,17,17,"706,456,069","522,843,396",2016.0
AE23,ZAR,38522113H,聯博收益傘型基金之聯博多元資產收益組合基金-AD類型(南非幣),"229,087,581",0.01%,34.9017,"6,562,436.92",0,15,15,"253,145,383","430,312,933",2016.0
AB2,TWD,38633201A,聯博收益成長傘型之聯博歐洲收益成長平衡基金-A2類型,"648,585,611",0.03%,10.6500,"60,898,978.63",7,19,26,"158,510,414","272,389,015",2016.0
AB2,TWD,38633201B,聯博收益成長傘型之聯博歐洲收益成長平衡基金-AD類型,"343,437,029",0.02%,9.6600,"35,547,865.48",0,27,27,"218,741,034","520,786,686",2016.0
AB2,USD,38633201C,聯博收益成長傘型之聯博歐洲收益成長平衡基金-AD類型(美元),"134,675,961",0.01%,470.9506,"286,059.36",0,12,12,"338,201,785","287,385,440",2016.0
AB2,CNY,38633201D,聯博收益成長傘型之聯博歐洲收益成長平衡基金-AD類型(人民幣),"17,081,556",0.00%,67.6155,"252,714.05",0,9,9,"47,829,597","99,800,560",2016.0
AB2,TWD,38633217A,聯博收益成長傘型之聯博亞太收益成長平衡基金-A2類型,"535,311,020",0.03%,10.3200,"51,895,222.91",2,17,19,"291,417,751","379,106,699",2016.0
AB2,TWD,38633217B,聯博收益成長傘型之聯博亞太收益成長平衡基金-AD類型,"393,692,152",0.02%,9.3600,"42,066,017.35",0,22,22,"146,501,630","223,234,560",2016.0
AC23,TWD,38654486A,聯博全球高收益債券基金-T2類型(新台幣),"582,683,870",0.03%,10.2700,"56,724,173.65",0,32,32,"562,851,332","866,308,033",2016.0
AC23,TWD,38654486B,聯博全球高收益債券基金-TA類型(新台幣),"5,095,339,946",0.24%,9.0400,"563,571,953.79",2,42,44,"4,581,631,133","1,448,529,514",2016.0
AC23,USD,38654486C,聯博全球高收益債券基金-TA類型(美元),"1,573,045,502",0.07%,436.4121,"3,605,022.92",0,34,34,"1,812,038,227","823,526,117",2016.0
AC23,CNY,38654486D,聯博全球高收益債券基金-TA類型(人民幣),"4,362,331,587",0.21%,63.2159,"69,016,281.79",0,39,39,"4,662,725,340","780,280,274",2016.0
AC23,AUD,38654486E,聯博全球高收益債券基金-TA類型(澳幣),"289,982,411",0.01%,310.5821,"933,496.97",0,22,22,"194,812,986","81,355,638",2016.0
AC23,ZAR,38654486F,聯博全球高收益債券基金-TA類型(南非幣),"332,753,402",0.02%,33.1790,"10,031,358.29",0,20,20,"271,542,432","150,119,007",2016.0
AG,TWD,48719071A,聯博亞太地產基金-A類型,"60,741,912",0.00%,12.6900,"4,786,394.90",74,20,94,"40,551,015","104,134,419",2016.0
AG,TWD,48719071B,聯博亞太地產基金-B類型,"138,904,312",0.01%,9.0700,"15,318,957.20",173,18,191,"6,413,969","26,756,378",2016.0
AA1,TWD,97997635,聯博大利基金,"746,978,014",0.04%,31.1100,"24,011,702.70","4,154",34,"4,188","80,421,841","179,248,573",2016.0
AD1,TWD,97998424,聯博貨幣市場基金,"509,599,945",0.02%,14.9338,"34,123,882.68",57,15,72,"30,166,311","142,922,252",2016.0
聯博投信,,,,"32,056,589,771",1.51%,,"2,107,128,259.85","4,504",693,"5,197","26,057,017,068","21,089,850,756",2016.0
AA1,TWD,17147078,日盛精選五虎基金,"816,612,461",0.04%,29.5600,"27,629,963.47","3,071",51,"3,122","319,695,560","634,665,223",2016.0
AA1,TWD,17607591,日盛高科技基金,"591,601,217",0.03%,11.5500,"51,228,696.24","4,670",46,"4,716","137,624,720","496,269,676",2016.0
AA1,TWD,20084317,日盛日盛基金,"1,009,521,870",0.05%,9.8500,"102,505,339.70","5,072",12,"5,084","78,856,660","174,669,806",2016.0
AE22,TWD,25690517,日盛金緻招牌組合基金,"119,419,805",0.01%,10.2279,"11,675,921.28",115,10,125,"29,119,006","81,215,026",2016.0
AA1,TWD,26273336,日盛MIT主流基金,"289,261,854",0.01%,13.1200,"22,043,814.06",733,23,756,"254,801,919","328,643,306",2016.0
AA2,TWD,26323737,日盛中國內需動力基金,"403,746,440",0.02%,9.1800,"43,971,377.31","1,119",31,"1,150","81,065,948","131,077,963",2016.0
AC23,TWD,31827147A,日盛亞洲高收益債券基金(新台幣A),"1,655,617,294",0.08%,12.8714,"128,627,564.95",310,48,358,"3,859,580,450","3,628,923,583",2016.0
AC23,TWD,31827147B,日盛亞洲高收益債券基金(新台幣B),"1,450,457,384",0.07%,9.8537,"147,199,350.48",590,33,623,"1,197,685,430","994,061,773",2016.0
AC23,CNY,31827147C,日盛亞洲高收益債券基金(人民幣A),"16,967,363",0.00%,11.7240,"1,447,232.81",4,4,8,"18,545,607","10,585,475",2016.0
AC23,CNY,31827147D,日盛亞洲高收益債券基金(人民幣B),"11,721,576",0.00%,9.0629,"1,293,361.81",1,2,3,"12,479,535","2,381,375",2016.0
AC23,USD,31827147E,日盛亞洲高收益債券基金(美金A),"151,936,235",0.01%,12.6468,"12,013,836.71",11,6,17,"203,063,083","74,108,443",2016.0
AC23,USD,31827147F,日盛亞洲高收益債券基金(美金B),"32,782,169",0.00%,9.8278,"3,335,648.66",4,2,6,"53,938,147","30,047,924",2016.0
AC21,TWD,31967890A,日盛全球新興債券基金A,"183,740,968",0.01%,10.9502,"16,779,741.09",72,12,84,"223,877,474","306,216,418",2016.0
AC21,TWD,31967890B,日盛全球新興債券基金B,"136,428,966",0.01%,9.2435,"14,759,500.10",131,7,138,"196,654,476","132,005,781",2016.0
AC23,TWD,38648871A,日盛中國高收益債券基金(新台幣A),"182,270,587",0.01%,10.6780,"17,069,781.60",80,11,91,"209,097,000","483,857,809",2016.0
AC23,TWD,38648871B,日盛中國高收益債券基金(新台幣B),"86,884,381",0.00%,9.8340,"8,835,089.22",66,6,72,"64,024,398","55,274,658",2016.0
AC23,CNY,38648871C,日盛中國高收益債券基金(人民幣A),"36,683,945",0.00%,54.2941,"675,652.16",8,7,15,"28,418,693","22,175,809",2016.0
AC23,CNY,38648871D,日盛中國高收益債券基金(人民幣B),"18,591,584",0.00%,49.9047,"372,541.54",3,3,6,"23,353,345","23,602,921",2016.0
AC23,USD,38648871E,日盛中國高收益債券基金(美元A),"60,120,262",0.00%,375.5906,"160,068.58",1,6,7,"57,571,115","78,781,045",2016.0
AC23,USD,38648871F,日盛中國高收益債券基金(美元B),"3,839,291",0.00%,346.9893,"11,064.58",1,2,3,"5,265,960","6,033,503",2016.0
AD2,TWD,38648886A,日盛中國貨幣市場基金(新台幣),"1,162,467",0.00%,8.6719,"134,050.16",2,1,3,"161,294,611","263,927,946",2016.0
AD2,CNY,38648886B,日盛中國貨幣市場基金(人民幣),"31,673,326",0.00%,48.1646,"657,606.25",0,4,4,"198,411,703","307,478,457",2016.0
AD2,USD,38648886C,日盛中國貨幣市場基金(美元),0,0.00%,272.3056,0.00,0,0,0,"1,571,600","61,791,378",2016.0
AA2,TWD,42449987A,日盛中國戰略A股基金(新台幣),"1,442,013,406",0.07%,9.6000,"150,227,250.28",561,27,588,"860,234,267","56,407,875",2016.0
AA2,CNY,42449987B,日盛中國戰略A股基金(人民幣),"112,600,494",0.01%,44.3700,"2,537,983.96",19,5,24,"44,678,202","169,395",2016.0
AA2,USD,42449987C,日盛中國戰略A股基金(美元),"275,524,194",0.01%,310.0700,"888,596.08",24,4,28,"134,840,976","6,241,126",2016.0
AA2,TWD,48925706,日盛亞洲機會基金,"398,769,859",0.02%,5.9700,"66,839,670.17","1,801",26,"1,827","18,608,644","66,203,719",2016.0
AA1,TWD,48948481,日盛首選基金,"294,931,706",0.01%,12.3000,"23,978,764.36",962,34,996,"131,957,397","444,232,635",2016.0
AA2,TWD,48968970,日盛全球抗暖化基金,"472,890,884",0.02%,8.6900,"54,416,715.81","3,337",37,"3,374","24,860,644","77,874,438",2016.0
AA1,TWD,73988876,日盛小而美基金,"772,129,381",0.04%,17.5700,"43,952,767.20","2,298",48,"2,346","1,119,307,351","1,618,667,104",2016.0
AD1,TWD,81580387,日盛貨幣市場基金,"66,496,983,625",3.13%,14.6699,"4,532,899,251.42",662,266,928,"161,499,251,329","174,291,846,659",2016.0
AA1,TWD,81584975,日盛上選基金,"2,215,677,744",0.10%,21.2300,"104,353,212.60","4,942",57,"4,999","1,635,371,908","1,730,010,847",2016.0
AA1,TWD,94991068,日盛新台商基金,"212,594,483",0.01%,28.2100,"7,536,296.36",799,35,834,"91,121,546","156,071,631",2016.0
日盛投信,,,,"79,985,157,221",3.77%,,"5,600,057,711.00","31,469",866,"32,335","172,976,228,704","186,775,520,727",2016.0
AC23,TWD,10340936A,柏瑞全球策略高收益債券基金-A類型,"5,382,191,445",0.25%,13.2128,"407,346,316.14",581,73,654,"7,069,267,827","5,503,483,823",2016.0
AC23,TWD,10340936B,柏瑞全球策略高收益債券基金-B類型,"22,225,557,623",1.05%,7.3562,"3,021,334,730.45","1,844",61,"1,905","2,650,485,411","4,912,476,088",2016.0
AC23,AUD,10340936C,柏瑞全球策略高收益債券基金-B類型(澳幣),"200,361,643",0.01%,202.7168,"988,381.89",3,13,16,"182,343,888","11,181,815",2016.0
AC23,ZAR,10340936D,柏瑞全球策略高收益債券基金-B類型(南非幣),"221,508,990",0.01%,20.9614,"10,567,487.27",5,20,25,"129,412,321","68,168,519",2016.0
AC23,CNY,10340936E,柏瑞全球策略高收益債券基金-A類型(人民幣),"80,720,517",0.00%,49.9961,"1,614,537.23",7,11,18,"137,433,568","124,427,039",2016.0
AC23,CNY,10340936F,柏瑞全球策略高收益債券基金-B類型(人民幣),"516,205,528",0.02%,41.8356,"12,338,915.88",11,25,36,"356,461,736","232,911,573",2016.0
AC23,CNY,10340936G,柏瑞全球策略高收益債券基金-N類型(人民幣),"355,604,827",0.02%,46.7382,"7,608,438.27",0,9,9,"281,514,253","92,322,266",2016.0
AC23,TWD,10340936H,柏瑞全球策略高收益債券基金-N類型,"1,272,636,616",0.06%,9.7516,"130,504,930.14",0,7,7,"829,199,718","267,968,122",2016.0
AC23,TWD,10340936I,柏瑞全球策略高收益債券基金-N9類型(台幣),"56,983,377",0.00%,11.4461,"4,978,421.77",0,5,5,"61,738,843","7,916,268",2016.0
AC23,CNY,10340936J,柏瑞全球策略高收益債券基金-N9類型(人民幣),"24,586,231",0.00%,50.7347,"484,603.38",0,5,5,"24,383,972",0,2016.0
AC23,USD,10340936K,柏瑞全球策略高收益債券基金-A類型(美元),"41,582,054",0.00%,379.1916,"109,659.75",0,2,2,"102,820,440","63,671,580",2016.0
AC23,USD,10340936L,柏瑞全球策略高收益債券基金-B類型(美元),"254,785,183",0.01%,361.8127,"704,190.83",1,5,6,"301,528,289","52,296,033",2016.0
AC23,USD,10340936M,柏瑞全球策略高收益債券基金-N類型(美元),"315,922,086",0.01%,321.8220,"981,667.17",0,8,8,"316,998,549","52,898,843",2016.0
AC23,USD,10340936N,柏瑞全球策略高收益債券基金-N9類型(美元),"18,215,646",0.00%,345.1977,"52,768.74",0,4,4,"17,794,472","3,877,465",2016.0
AC23,ZAR,10340936O,柏瑞全球策略高收益債券基金-A類型(南非幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC23,ZAR,10340936P,柏瑞全球策略高收益債券基金-N類型(南非幣),"174,807,288",0.01%,23.9531,"7,297,890.49",0,4,4,"169,104,680","102,769",2016.0
AC23,ZAR,10340936Q,柏瑞全球策略高收益債券基金-N9類型(南非幣),"13,585,832",0.00%,24.4630,"555,362.66",0,2,2,"15,857,569","2,905,560",2016.0
AA1,TWD,20094820,柏瑞巨人基金,"1,500,895,817",0.07%,10.7300,"139,912,173.10","11,917",37,"11,954","408,629,576","712,575,856",2016.0
AE22,TWD,21709584A,柏瑞旗艦全球債券組合基金-A類型,"500,444,018",0.02%,13.1634,"38,017,887.10",55,26,81,"90,381,504","199,362,429",2016.0
AE22,TWD,21709584B,柏瑞旗艦全球債券組合基金-B類型,"2,543,087",0.00%,8.6240,"294,886.20",1,1,2,"4,391,583","2,328,598",2016.0
AC23,TWD,25682798A,柏瑞新興市場高收益債券基金-A類型,"1,671,766,947",0.08%,11.9925,"139,401,070.09",224,47,271,"2,907,525,891","1,826,350,627",2016.0
AC23,TWD,25682798B,柏瑞新興市場高收益債券基金-B類型,"3,953,327,701",0.19%,7.8466,"503,826,104.81",599,47,646,"621,054,155","1,037,786,104",2016.0
AC23,CNY,25682798C,柏瑞新興市場高收益債券基金-B類型(人民幣),"114,040,697",0.01%,43.6479,"2,612,743.91",0,6,6,"239,823,842","125,728,594",2016.0
AC23,CNY,25682798D,柏瑞新興市場高收益債券基金-A類型(人民幣),"17,207,029",0.00%,49.7794,"345,665.63",0,3,3,"80,581,745","62,622,729",2016.0
AC23,TWD,25682798E,柏瑞新興市場高收益債券基金-N類型(台幣),"30,054,221",0.00%,10.0127,"3,001,596.07",0,3,3,"31,022,381","449,258",2016.0
AC23,TWD,25682798F,柏瑞新興市場高收益債券基金-N9類型(台幣),"2,913,710",0.00%,10.3089,"282,640.92",0,1,1,"2,944,124",0,2016.0
AC23,CNY,25682798G,柏瑞新興市場高收益債券基金-N類型(人民幣),"5,720,035",0.00%,47.1829,"121,231.10",0,4,4,"5,940,904",0,2016.0
AC23,CNY,25682798H,柏瑞新興市場高收益債券基金-N9類型(人民幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC23,USD,25682798I,柏瑞新興市場高收益債券基金-A類型(美元),"40,223,383",0.00%,338.0507,"118,986.23",0,2,2,"98,050,503","58,414,628",2016.0
AC23,USD,25682798J,柏瑞新興市場高收益債券基金-B類型(美元),"112,557,127",0.01%,327.4136,"343,776.55",0,3,3,"176,075,394","62,303,945",2016.0
AC23,USD,25682798K,柏瑞新興市場高收益債券基金-N類型(美元),"20,970,234",0.00%,334.3367,"62,721.91",0,5,5,"22,214,690","1,030,118",2016.0
AC23,USD,25682798L,柏瑞新興市場高收益債券基金-N9類型(美元),"3,538,030",0.00%,338.5788,"10,449.65",0,2,2,"4,718,150","1,246,431",2016.0
AA2,TWD,26259496,柏瑞五國金勢力建設基金,"171,043,440",0.01%,6.1000,"28,036,979.80",408,24,432,"17,057,407","22,892,737",2016.0
AE21,TWD,29229530,柏瑞旗艦全球成長組合基金,"1,358,712,696",0.06%,15.2900,"88,859,713.30",277,38,315,"481,484,352","499,975,726",2016.0
AC21,TWD,31827266A,柏瑞新興市場企業策略債券基金-A類型,"1,784,951,402",0.08%,11.5434,"154,629,104.27",59,33,92,"2,032,018,187","1,227,739,931",2016.0
AC21,TWD,31827266B,柏瑞新興市場企業策略債券基金-B類型,"724,332,299",0.03%,9.1953,"78,771,863.05",139,41,180,"122,987,360","144,803,188",2016.0
AC21,CNY,31827266C,柏瑞新興市場企業策略債券基金-B類型(人民幣),"124,768,529",0.01%,45.4974,"2,742,322.87",0,7,7,"130,715,876","9,346,646",2016.0
AC21,CNY,31827266D,柏瑞新興市場企業策略債券基金-A類型(人民幣),"61,042,359",0.00%,48.2109,"1,266,152.29",0,3,3,"86,025,153","23,806,409",2016.0
AC21,TWD,31827266E,柏瑞新興市場企業策略債券基金-N類型(台幣),"13,641,175",0.00%,9.9358,"1,372,929.33",0,4,4,"15,068,894","1,156,333",2016.0
AC21,TWD,31827266F,柏瑞新興市場企業策略債券基金-N9類型(台幣),"1,719,706",0.00%,10.1383,"169,624.00",0,2,2,"1,700,000",0,2016.0
AC21,CNY,31827266G,柏瑞新興市場企業策略債券基金-N類型(人民幣),"15,571,110",0.00%,47.1445,"330,284.71",0,3,3,"16,177,502",0,2016.0
AC21,CNY,31827266H,柏瑞新興市場企業策略債券基金-N9類型(人民幣),"9,024,855",0.00%,46.3580,"194,677.36",0,2,2,"9,071,047",0,2016.0
AC21,USD,31827266I,柏瑞新興市場企業策略債券基金-A類型(美金),"65,870,329",0.00%,320.2141,"205,707.12",0,2,2,"72,558,480","6,668,096",2016.0
AC21,USD,31827266J,柏瑞新興市場企業策略債券基金-B類型(美金),"72,275,359",0.00%,319.9591,"225,889.35",0,4,4,"73,816,910","408,047",2016.0
AC21,USD,31827266K,柏瑞新興市場企業策略債券基金-N類型(美金),"11,296,821",0.00%,320.0963,"35,291.94",0,2,2,"11,349,340",0,2016.0
AC21,USD,31827266L,柏瑞新興市場企業策略債券基金-N9類型(美金),"1,852,092",0.00%,319.6812,"5,793.56",0,1,1,"1,858,600",0,2016.0
AC21,ZAR,31827266M,柏瑞新興市場企業策略債券基金-A類型(南非幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC21,ZAR,31827266N,柏瑞新興市場企業策略債券基金-B類型(南非幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC21,ZAR,31827266O,柏瑞新興市場企業策略債券基金-N類型(南非幣),"1,764,596",0.00%,22.9870,"76,764.99",0,1,1,"1,693,510",0,2016.0
AC21,ZAR,31827266P,柏瑞新興市場企業策略債券基金-N9類型(南非幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC21,TWD,38495354A,柏瑞新興亞太策略債券基金-A類型,"637,277,830",0.03%,11.2875,"56,458,900.92",143,35,178,"1,407,666,329","1,285,964,890",2016.0
AC21,TWD,38495354B,柏瑞新興亞太策略債券基金-B類型,"507,077,906",0.02%,9.9506,"50,959,468.37",158,27,185,"458,729,397","252,652,154",2016.0
AC21,CNY,38495354C,柏瑞新興亞太策略債券基金-B類型(人民幣),"65,647,935",0.00%,46.7822,"1,403,266.33",2,14,16,"128,516,009","63,297,088",2016.0
AC21,CNY,38495354D,柏瑞新興亞太策略債券基金-A類型(人民幣),"75,221,814",0.00%,51.5981,"1,457,839.51",1,11,12,"101,326,747","26,256,994",2016.0
AC21,TWD,38495354E,柏瑞新興亞太策略債券基金-N類型,"47,271,625",0.00%,10.1057,"4,677,729.72",0,6,6,"49,020,362","1,014,293",2016.0
AC21,TWD,38495354F,柏瑞新興亞太策略債券基金-N9類型(台幣),"10,804,730",0.00%,10.0708,"1,072,873.72",0,3,3,"10,740,000",0,2016.0
AC21,CNY,38495354G,柏瑞新興亞太策略債券基金-N類型(人民幣),"56,364,662",0.00%,47.7515,"1,180,375.65",0,7,7,"58,959,783","1,170,282",2016.0
AC21,CNY,38495354H,柏瑞新興亞太策略債券基金-N9類型(人民幣),"7,188,233",0.00%,48.6166,"147,855.49",0,6,6,"7,249,597",0,2016.0
AC21,USD,38495354I,柏瑞新興亞太策略債券基金-A類型(美元),"129,846,736",0.01%,336.6434,"385,710.08",5,8,13,"274,457,892","147,083,393",2016.0
AC21,USD,38495354J,柏瑞新興亞太策略債券基金-B類型(美元),"68,728,732",0.00%,324.1567,"212,023.18",2,5,7,"174,505,079","102,757,778",2016.0
AC21,USD,38495354K,柏瑞新興亞太策略債券基金-N類型(美元),"9,713,634",0.00%,316.6955,"30,671.84",0,5,5,"9,798,986",0,2016.0
AC21,USD,38495354L,柏瑞新興亞太策略債券基金-N9類型(美元),"4,506,169",0.00%,320.6606,"14,052.77",0,2,2,"4,487,385",0,2016.0
AC21,TWD,38495354Q,柏瑞新興亞太策略債券基金-Ns類型,"15,141,983",0.00%,10.0921,"1,500,381.89",0,1,1,"15,034,046",0,2016.0
AA2,TWD,38547873A,柏瑞亞洲亮點股票基金-A類型(台幣),"304,743,370",0.01%,10.4200,"29,248,495.80",146,17,163,"92,945,247","208,393,206",2016.0
AA2,CNY,38547873B,柏瑞亞洲亮點股票基金-A類型(人民幣),"1,027,539",0.00%,43.8400,"23,438.00",0,2,2,"2,906,089","1,762,583",2016.0
AA2,TWD,38547873C,柏瑞亞洲亮點股票基金-N9類型(台幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AA2,CNY,38547873D,柏瑞亞洲亮點股票基金-N9類型(人民幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AA2,USD,38547873E,柏瑞亞洲亮點股票基金-A類型(美元),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AA2,USD,38547873F,柏瑞亞洲亮點股票基金-N9類型(美元),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AB2,TWD,38651312A,柏瑞中國平衡基金-A類型,"1,006,265,664",0.05%,9.2860,"108,364,183.76",146,28,174,"267,842,705","603,065,155",2016.0
AB2,TWD,38651312B,柏瑞中國平衡基金-B類型,"607,095,044",0.03%,8.7323,"69,523,237.06",122,10,132,"22,995,207","285,076,722",2016.0
AB2,USD,38651312C,柏瑞中國平衡基金-A類型(美元),"175,600,027",0.01%,295.1595,"594,932.71",12,12,24,"35,680,246","90,040,498",2016.0
AB2,USD,38651312D,柏瑞中國平衡基金-B類型(美元),"99,332,992",0.00%,277.2431,"358,288.44",1,8,9,"13,397,833","43,955,811",2016.0
AB2,CNY,38651312E,柏瑞中國平衡基金-A類型(人民幣),"218,972,730",0.01%,44.1064,"4,964,649.48",11,12,23,"4,994,037","144,881,503",2016.0
AB2,CNY,38651312F,柏瑞中國平衡基金-B類型(人民幣),"207,644,126",0.01%,40.3532,"5,145,663.95",1,8,9,"12,880,808","89,170,193",2016.0
AB2,TWD,38651312G,柏瑞中國平衡基金-N類型,"9,224,919",0.00%,9.9771,"924,610.65",0,1,1,"5,369,075","25,278,773",2016.0
AB2,CNY,38651312H,柏瑞中國平衡基金-N類型(人民幣),"2,880,128",0.00%,46.0924,"62,485.95",0,2,2,"3,028,399","10,673,606",2016.0
AB2,TWD,38651312I,柏瑞中國平衡基金-N9類型(台幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AB2,CNY,38651312J,柏瑞中國平衡基金-N9類型(人民幣),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AB2,USD,38651312K,柏瑞中國平衡基金-N類型(美元),"170,184",0.00%,312.0924,545.30,0,1,1,"168,400","650,428",2016.0
AB2,USD,38651312L,柏瑞中國平衡基金-N9類型(美元),0,0.00%,0.0000,0.00,0,0,0,0,0,2016.0
AC23,TWD,42329391A,柏瑞亞太高收益債券基金-A類型,"1,998,942,192",0.09%,10.8753,"183,806,185.99",84,25,109,"2,350,529,218","1,938,608,236",2016.0
AC23,TWD,42329391B,柏瑞亞太高收益債券基金-B類型,"1,510,514,770",0.07%,10.2548,"147,298,069.28",147,16,163,"1,957,178,727","2,287,737,796",2016.0
AC23,TWD,42329391C,柏瑞亞太高收益債券基金-N類型,"812,363,883",0.04%,10.2548,"79,217,608.98",0,5,5,"399,972,819","621,499,801",2016.0
AC23,CNY,42329391D,柏瑞亞太高收益債券基金-A類型(人民幣),"262,062,236",0.01%,52.7570,"4,967,347.52",1,8,9,"366,628,198","330,551,985",2016.0
